        shot      timeid        p_E1      2nT_ex     Ptot_ex      wid_E1      wid_ex    tewid_ex    bNped_E1  betaped_E1 betapped_E1        coll     ptop_E1   widtop_E1
      131996        3000      7.9550           -      8.1636      0.0378      0.0442      0.0487           -      0.4400           -           -      9.9520      0.0569
      131997        3000     10.1160           -     10.2619      0.0333      0.0462      0.0537           -      0.5837           -           -     12.8530      0.0495
      131999        3000     10.0970           -     10.7064      0.0334      0.0335      0.0317           -      0.5773           -           -     12.7170      0.0495
      132000        3000      5.5280           -      5.5599      0.0445      0.0286      0.0262           -      0.3013           -           -      7.0900      0.0667
      132002        3000      4.1930           -      4.5615      0.0551      0.0680      0.0659           -      0.2205           -           -      5.5380      0.0823
      132003        3000      6.9240           -      5.6722      0.0353      0.0344      0.0337           -      0.6997           -           -      8.6830      0.0529
      132006        3000      4.1630           -      3.6974      0.0398      0.0511      0.0581           -      0.8257           -           -      5.3190      0.0599
      132007        1300      1.2480           -      1.6787      0.0387      0.0533      0.0540           -      0.8354           -           -      1.4790      0.0584
      132009        3000      9.8570           -      9.4827      0.0421      0.0503      0.0527           -      0.5471           -           -     12.2780      0.0634
      132010        3000     12.0520           -     11.4553      0.0468      0.0494      0.0486           -      0.6769           -           -     15.0460      0.0703
      132011        3000     13.1230           -     11.5254      0.0490      0.0464      0.0467           -      0.7452           -           -     16.4580      0.0736
      132014        3000     14.4400           -     15.8394      0.0535      0.1002      0.0832           -      0.8190           -           -     18.3540      0.0803
      132016        3000     19.6000           -     15.6717      0.0492      0.0750      0.0634           -      1.0984           -           -     24.6030      0.0740
      132017        2100     11.4890           -     12.2766      0.0633      0.0691      0.0686           -      0.6419           -           -     14.7240      0.0952
      132018        2000      9.3080           -      8.4105      0.0706      0.0929      0.0863           -      0.5209           -           -     12.0990      0.1060
      132019        1600     15.6630           -     11.8440      0.0556      0.0533      0.0506           -      1.4547           -           -     19.6580      0.0836
